item vulnerable;type;version;severity;score;cve;cve_link;action;
WooCommerce;plugin;9.1;medium;4.4;CVE-2025-49042;https://www.cve.org/CVERecord?id=CVE-2025-49042;consider to disable and wait for update.;
WPForms Lite;plugin;1.9;medium;4.4;CVE-2024-7056;https://www.cve.org/CVERecord?id=CVE-2024-7056;consider to disable and wait for update.;
Slider Revolution;plugin;6.6;medium;6.5;CVE-2025-9217;https://www.cve.org/CVERecord?id=CVE-2025-9217;consider to disable and wait for update.;
Essential Grid;plugin;3.0;medium;6.1;CVE-2023-47684;https://www.cve.org/CVERecord?id=CVE-2023-47684;consider to disable and wait for update.;
UberMenu;plugin;3.8;medium;6.4;CVE-2024-4710;https://www.cve.org/CVERecord?id=CVE-2024-4710;consider to disable and wait for update.;
Smush;plugin;3.16;low;2.7;CVE-2025-22288;https://www.cve.org/CVERecord?id=CVE-2025-22288;consider to disable and wait for update.;
Really Simple SSL;plugin;7.0;critical;9.8;CVE-2024-10924;https://www.cve.org/CVERecord?id=CVE-2024-10924;consider to disable and wait for update.;
TablePress;plugin;2.3;medium;6.4;CVE-2025-12324;https://www.cve.org/CVERecord?id=CVE-2025-12324;consider to disable and wait for update.;
Broken Link Checker;plugin;2.2;high;7.1;CVE-2024-8981;https://www.cve.org/CVERecord?id=CVE-2024-8981;consider to disable and wait for update.;
SureForms Contact Form, Payment Form Other Custom Form Builder;plugin;1.7.3;medium;4.3;CVE-2025-10732;https://www.cve.org/CVERecord?id=CVE-2025-10732;consider to disable and wait for update.;
